ISBN,rating,bool
0316782505,0,0
0316788228,0,0
0316789089,0,0
0316899984,0,0
0316969443,0,0
0316969680,0,0
0330332775,0,0
0345313860,0,0
0345337662,0,0
0345339681,0,0
0345339703,0,0
0345339711,0,0
0345339738,0,0
0345342968,0,0
0345348036,0,0
0345348109,0,0
0345350499,0,0
0345351525,0,0
0345353145,0,0
0345354613,0,0
0345361792,0,0
034536676X,0,0
0345368754,0,0
0345369947,0,0
0345370775,0,0
0345370805,0,0
0345378482,0,0
0345378490,0,0
0345380371,0,0
034538184X,0,0
0345384350,0,0
0345384369,0,0
0345384466,0,0
034538475X,0,0
0345386108,0,0
0345387651,0,0
0345391055,0,0
0345391802,0,0
034539657X,0,0
0345397819,0,0
0345402871,0,0
034540288X,0,0
0345404114,0,0
0345413350,0,0
0345413873,0,0
0345413881,0,0
034541389X,0,0
0345413903,0,0
0345417623,0,0
0345422317,0,0
0345424719,0,0
0345427637,0,0
034543479X,0,0
0345435168,0,0
0345436911,0,0
0345438329,0,0
0345439104,0,0
0345441036,0,0
0345443284,0,0
0345444884,0,0
0345445848,0,0
0345446860,0,0
0345447840,0,0
0345465083,0,0
0373218036,0,0
0373218192,0,0
0373218397,0,0
0373218400,0,0
0373484003,0,0
0373825013,0,0
0374129983,0,0
0374199698,0,0
0375412824,0,0
0375502238,0,0
0375506039,0,0
0375700757,0,0
0375702709,0,0
0375703055,0,0
0375703063,0,0
0375703861,0,0
037570504X,0,0
0375705856,0,0
0375706410,0,0
0375706771,0,0
0375707972,0,0
0375725784,0,0
0375726403,0,0
0375727132,0,0
0375727345,0,0
0375760911,0,0
0380002930,0,0
0380012863,0,0
0380018179,0,0
0380710218,0,0
0380717018,0,0
0380718332,0,0
0380718340,0,0
0380727501,0,0
0380730138,0,0
0380730847,0,0
0380731851,0,0
0380789019,0,0
0380789035,0,0
038079487X,0,0
0380813815,0,0
0380814021,0,0
0380820293,0,0
038082101X,0,0
0380977788,0,0
0385265700,0,0
038529929X,0,0
038533334X,0,0
0385335482,0,0
0385335830,0,0
0385335881,0,0
0385336179,0,0
0385420161,0,0
038542017X,0,0
038542471X,0,0
0385424728,0,0
0385424736,0,0
0385472951,0,0
0385474016,0,0
0385475721,0,0
0385479565,0,0
0385484518,0,0
0385486804,0,0
038549081X,0,0
0385490992,0,0
0385492081,0,0
0385493800,0,0
0385497466,0,0
0385498802,0,0
038550120X,0,0
0385502532,0,0
0385503822,0,0
0385503954,0,0
0385504209,0,0
0385505833,0,0
0385508042,0,0
0385508417,0,0
038550926X,0,0
0385510438,0,0
0385511612,0,0
0385512104,0,0
0385720106,0,0
0385720955,0,0
0385721420,0,0
038572179X,0,0
0385722206,0,0
0385730586,0,0
0394820371,0,0
039592720X,0,0
0399144463,0,0
0399145087,0,0
0399146253,0,0
0399146431,0,0
0399147195,0,0
0399149155,0,0
0399149325,0,0
0399150897,0,0
0399501487,0,0
0425083837,0,0
0425092917,0,0
042510107X,0,0
0425107469,0,0
0425109720,0,0
0425115801,0,0
0425116840,0,0
042511774X,0,0
0425122123,0,0
0425124347,0,0
0425132951,0,0
0425133540,0,0
042513525X,0,0
0425136981,0,0
042513699X,0,0
0425143325,0,0
0425144429,0,0
0425147363,0,0
0425147517,0,0
0425147584,0,0
0425147622,0,0
0425150143,0,0
0425151867,0,0
0425152251,0,0
0425153975,0,0
0425154092,0,0
0425155404,0,0
0425158616,0,0
0425158632,0,0
042516098X,0,0
0425162443,0,0
0425163407,0,0
0425167313,0,0
0425169863,0,0
0425170349,0,0
0425172546,0,0
0425175405,0,0
0425177173,0,0
0425178102,0,0
0425178765,0,0
0425180638,0,0
0425180964,0,0
0425182878,0,0
0425182908,0,0
0425184226,0,0
0425185710,0,0
042518630X,0,0
0425189864,0,0
0425192725,0,0
0425192733,0,0
0439064864,0,0
0439064872,0,0
0439136350,0,0
0439136369,0,0
0439139597,0,0
0439139600,0,0
043935806X,0,0
043936213X,0,0
0440122090,0,0
0440180295,0,0
0440202043,0,0
0440206154,0,0
0440211263,0,0
044021145X,0,0
0440211727,0,0
0440212561,0,0
0440213290,0,0
0440213525,0,0
0440214041,0,0
0440215625,0,0
0440218535,0,0
0440219078,0,0
0440220602,0,0
044022103X,0,0
0440221471,0,0
0440221595,0,0
044022165X,0,0
0440222656,0,0
0440223202,0,0
0440224594,0,0
0440224624,0,0
0440224675,0,0
0440224764,0,0
0440225701,0,0
0440226104,0,0
0440226430,0,0
0440234743,0,0
0440235162,0,0
0440235596,0,0
0440236673,0,0
0440236703,0,0
044023722X,0,0
0440241073,0,0
0440241537,0,0
0440414806,0,0
0440498058,0,0
0440998050,0,0
0441003257,0,0
0441172717,0,0
0441569595,0,0
0441790348,0,0
0446310786,0,0
0446359866,0,0
0446360589,0,0
0446363251,0,0
0446364193,0,0
0446364800,0,0
0446365505,0,0
0446394521,0,0
044651652X,0,0
0446516538,0,0
044651862X,0,0
0446519138,0,0
0446520802,0,0
0446525502,0,0
0446530522,0,0
0446531332,0,0
0446532231,0,0
0446601241,0,0
0446602620,0,0
0446603589,0,0
0446603716,0,0
0446603929,0,0
0446604666,0,0
0446604801,0,0
0446604844,0,0
0446605239,0,0
0446605409,0,0
0446605484,0,0
0446606189,0,0
0446606324,0,0
0446606812,0,0
0446607193,0,0
0446607657,0,0
0446607711,0,0
0446608815,0,0
0446608890,0,0
0446608955,0,0
0446609323,0,0
0446609404,0,0
0446610038,0,0
0446610100,0,0
0446610399,0,0
0446610542,0,0
0446611085,0,0
0446611212,0,0
0446611778,0,0
0446611808,0,0
0446611867,0,0
0446612545,0,0
0446612790,0,0
0446613266,0,0
0446670251,0,0
0446672211,0,0
0446675059,0,0
0446679593,0,0
0449003787,0,0
0449003795,0,0
0449005615,0,0
0449006522,0,0
0449134482,0,0
0449203794,0,0
0449212602,0,0
0449219364,0,0
0449219461,0,0
0449221482,0,0
0449221490,0,0
0449221504,0,0
0449221512,0,0
0449223604,0,0
0449223612,0,0
0449227421,0,0
0449907481,0,0
0449910237,0,0
0449912558,0,0
0451151259,0,0
0451153553,0,0
0451156609,0,0
0451160525,0,0
0451163966,0,0
0451166892,0,0
0451167317,0,0
0451169522,0,0
0451169530,0,0
0451170385,0,0
0451172817,0,0
0451176464,0,0
0451177096,0,0
0451180232,0,0
0451181379,0,0
0451183665,0,0
0451184963,0,0
0451186362,0,0
0451188454,0,0
0451188462,0,0
0451191145,0,0
0451197747,0,0
0451202341,0,0
0451203771,0,0
0451203895,0,0
0451204530,0,0
0451205421,0,0
0451206525,0,0
0451207521,0,0
0451524934,0,0
0451526341,0,0
0452260116,0,0
0452264464,0,0
0452268060,0,0
0452269571,0,0
0452280621,0,0
0452282152,0,0
0452282195,0,0
0452282829,0,0
0452283205,0,0
0452284449,0,0
051511992X,0,0
0515120618,0,0
0515121843,0,0
0515122734,0,0
051512317X,0,0
0515124214,0,0
051512608X,0,0
0515126772,0,0
0515127833,0,0
0515128546,0,0
0515128554,0,0
0515130389,0,0
0515130966,0,0
0515131229,0,0
0515132020,0,0
0515132187,0,0
051513287X,0,0
0515133302,0,0
0515133973,0,0
0515135062,0,0
0515135739,0,0
051513628X,0,0
0515136379,0,0
0515136530,0,0
0525947647,0,0
0552998486,0,0
0553208845,0,0
055321313X,0,0
0553213148,0,0
0553250426,0,0
0553250531,0,0
0553260111,0,0
0553268880,0,0
0553271636,0,0
0553272535,0,0
0553273914,0,0
0553274295,0,0
0553275976,0,0
0553277472,0,0
0553279378,0,0
0553279556,0,0
0553279912,0,0
0553280341,0,0
0553280368,0,0
0553282476,0,0
0553284789,0,0
0553289411,0,0
0553292722,0,0
0553296981,0,0
0553375407,0,0
0553560247,0,0
055356160X,0,0
0553561618,0,0
055356451X,0,0
0553564528,0,0
0553569155,0,0
0553569910,0,0
0553571818,0,0
0553571885,0,0
0553572326,0,0
0553572997,0,0
0553573136,0,0
0553574574,0,0
0553576801,0,0
0553578022,0,0
0553578693,0,0
0553579606,0,0
0553579754,0,0
0553580191,0,0
0553580221,0,0
0553580930,0,0
0553581554,0,0
0553582127,0,0
0553582135,0,0
0553582143,0,0
0553582526,0,0
0553582747,0,0
0553582755,0,0
0590353403,0,0
059035342X,0,0
0609610597,0,0
0609804138,0,0
0670865796,0,0
0670880728,0,0
067088300X,0,0
0670892963,0,0
0670894184,0,0
067100042X,0,0
0671001795,0,0
0671003755,0,0
0671004107,0,0
0671004530,0,0
0671004549,0,0
0671004565,0,0
0671004573,0,0
0671011367,0,0
0671014196,0,0
067101420X,0,0
0671021001,0,0
067102423X,0,0
0671024248,0,0
0671027344,0,0
0671027360,0,0
0671027387,0,0
0671027662,0,0
0671028375,0,0
0671038184,0,0
0671041789,0,0
0671042262,0,0
0671042572,0,0
0671042858,0,0
0671510053,0,0
0671568175,0,0
0671617028,0,0
0671673688,0,0
0671683993,0,0
0671693816,0,0
0671708635,0,0
0671727796,0,0
0671758896,0,0
0671793489,0,0
0671867091,0,0
0671867113,0,0
0671867156,0,0
0671867172,0,0
0671880314,0,0
0671888587,0,0
0671894455,0,0
0679429220,0,0
0679444815,0,0
0679446486,0,0
0679731148,0,0
0679731725,0,0
0679734775,0,0
0679735771,0,0
0679735909,0,0
0679744398,0,0
0679745203,0,0
0679746048,0,0
0679751521,0,0
067976397X,0,0
067976402X,0,0
0679772677,0,0
0684801523,0,0
0684833395,0,0
068484267X,0,0
068484477X,0,0
0684848783,0,0
0684865742,0,0
0684867621,0,0
0684872153,0,0
0684874350,0,0
0688177751,0,0
0688177859,0,0
0743203631,0,0
0743206045,0,0
0743211375,0,0
0743211383,0,0
0743224574,0,0
0743225406,0,0
0743227441,0,0
0743237188,0,0
0743411250,0,0
0743412028,0,0
0743418174,0,0
0743418204,0,0
0743436210,0,0
074343627X,0,0
0743437640,0,0
0743437802,0,0
0743457358,0,0
0743460529,0,0
0743467523,0,0
0767900383,0,0
0767902521,0,0
0767905180,0,0
0767905385,0,0
076790592X,0,0
0767915054,0,0
0786817070,0,0
0786866586,0,0
0786867647,0,0
0786868716,0,0
0786881852,0,0
0786885688,0,0
0786889020,0,0
0802130208,0,0
080213825X,0,0
0802139256,0,0
080410526X,0,0
0804105820,0,0
0804106304,0,0
080410753X,0,0
080411109X,0,0
0804111359,0,0
0804114986,0,0
0804115761,0,0
080411868X,0,0
080411918X,0,0
080411935X,0,0
0805063897,0,0
0812511816,0,0
0812550706,0,0
0842329129,0,0
0842329218,0,0
0842329242,0,0
0842329250,0,0
0842342702,0,0
0871136791,0,0
089480829X,0,0
0971880107,0,0
140003065X,0,0
1400031346,0,0
1400031354,0,0
1400031362,0,0
1400034779,0,0
1551668998,0,0
155874262X,0,0
1558743669,0,0
1558744150,0,0
1558744630,0,0
1558745157,0,0
1559029838,0,0
1573225517,0,0
1573225789,0,0
1573227331,0,0
1573229326,0,0
1573229571,0,0
1592400876,0,0
1878424319,0,0
